96.90s, 4, red, Entry
96.97s, 2, blue, Exit
97.00s, 3, red, Exit
97.00s, 4, blue, Entry
97.13s, 2, blue, Exit
97.17s, 4, red, Entry
97.17s, 4, blue, Entry
97.23s, 3, red, Exit
97.23s, 2, blue, Exit
97.27s, 4, red, Entry
97.30s, 4, blue, Entry
97.33s, 2, blue, Exit
97.37s, 3, red, Exit
97.40s, 4, blue, Entry
97.57s, 2, blue, Exit
97.63s, 4, blue, Entry
97.67s, 2, blue, Exit
97.70s, 4, blue, Entry
97.77s, 4, red, Entry
97.80s, 3, red, Exit
97.90s, 2, blue, Exit
97.93s, 4, red, Entry
97.97s, 3, red, Exit
97.97s, 4, blue, Entry
98.00s, 4, red, Entry
98.00s, 2, blue, Exit
98.03s, 4, blue, Entry
98.10s, 2, blue, Exit
98.30s, 3, red, Exit
98.40s, 4, red, Entry
98.43s, 3, red, Exit
98.47s, 4, red, Entry
98.73s, 3, red, Exit
98.83s, 4, red, Entry
98.87s, 3, red, Exit
99.03s, 4, red, Entry
99.07s, 3, red, Exit
99.07s, 4, blue, Entry
99.13s, 4, red, Entry
99.13s, 2, blue, Exit
99.27s, 4, blue, Entry
99.30s, 2, blue, Exit
99.33s, 4, blue, Entry
99.37s, 2, blue, Exit
99.40s, 3, red, Exit
99.43s, 4, blue, Entry
99.47s, 4, red, Entry
99.50s, 2, blue, Exit
99.53s, 4, blue, Entry
99.57s, 2, blue, Exit
99.73s, 3, red, Exit
99.77s, 4, red, Entry
99.83s, 3, red, Exit
99.93s, 4, red, Entry
100.03s, 3, red, Exit
100.10s, 4, red, Entry
100.57s, 3, red, Exit
